"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Find the Path","PHB'24","273","6th","1 Min.","Concentration, up to 1 day","Divination","Self","V, S, M (a set of divination tools—such as cards or runes—worth 100+ GP)","Bard, Cleric, Druid","","You magically sense the most direct physical route to a location you name. You must be familiar with the location, and the spell fails if you name a destination on another plane of existence, a moving destination (such as a mobile fortress), or an unspecific destination (such as ""a green dragon's lair"").For the duration, as long as you are on the same plane of existence as the destination, you know how far it is and in what direction it lies. Whenever you face a choice of paths along the way there, you know which path is the most direct.",""
"Fire Storm","PHB'24","275","7th","Action","Instantaneous","Evocation","150 feet","V, S","Cleric, Druid, Sorcerer","","A storm of fire appears within range. The area of the storm consists of up to ten 10-foot Cubes, which you arrange as you like. Each Cube must be contiguous with at least one other Cube. Each creature in the area makes a Dexterity saving throw, taking 7d10 Fire damage on a failed save or half as much damage on a successful one.Flammable objects in the area that aren't being worn or carried start burning.",""
"Flame Strike","PHB'24","275","5th","Action","Instantaneous","Evocation","60 feet","V, S, M (a pinch of sulfur)","Cleric","","A vertical column of brilliant fire roars down from above. Each creature in a 10-foot-radius, 40-foot-high Cylinder centered on a point within range makes a Dexterity saving throw, taking 5d6 Fire damage and 5d6 Radiant damage on a failed save or half as much damage on a successful one."," Using a Higher-Level Spell Slot. The Fire damage and the Radiant damage increase by 1d6 for each spell slot level above 5."
"Forbiddance","PHB'24","276","6th","10 Min.","1 day","Abjuration (ritual)","Touch","V, S, M (ruby dust worth 1,000+ GP)","Cleric","","You create a ward against magical travel that protects up to 40,000 square feet of floor space to a height of 30 feet above the floor. For the duration, creatures can't teleport into the area or use portals, such as those created by the Gate spell, to enter the area. The spell proofs the area against planar travel, and therefore prevents creatures from accessing the area by way of the Astral Plane, the Ethereal Plane, the Feywild, the Shadowfell, or the Plane Shift spell.In addition, the spell damages types of creatures that you choose when you cast it. Choose one or more of the following: Aberrations, Celestials, Elementals, Fey, Fiends, and Undead. When a creature of a chosen type enters the spell's area for the first time on a turn or ends its turn there, the creature takes 5d10 Radiant or Necrotic damage (your choice when you cast this spell).You can designate a password when you cast the spell. A creature that speaks the password as it enters the area takes no damage from the spell.The spell's area can't overlap with the area of another Forbiddance spell. If you cast Forbiddance every day for 30 days in the same location, the spell lasts until it is dispelled, and the Material components are consumed on the last casting.",""
"Freedom of Movement","PHB'24","277","4th","Action","1 hour","Abjuration","Touch","V, S, M (a leather strap)","Artificer, Bard, Cleric, Druid, Ranger","","You touch a willing creature. For the duration, the target's movement is unaffected by Difficult Terrain, and spells and other magical effects can neither reduce the target's Speed nor cause the target to have the Paralyzed or Restrained conditions. The target also has a Swim Speed equal to its Speed.In addition, the target can spend 5 feet of movement to automatically escape from nonmagical restraints, such as manacles or a creature imposing the Grappled condition on it."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4."
"Gate","PHB'24","277","9th","Action","Concentration, up to 1 minute","Conjuration","60 feet","V, S, M (a diamond worth 5,000+ GP)","Cleric, Sorcerer, Warlock, Wizard","","You conjure a portal linking an unoccupied space you can see within range to a precise location on a different plane of existence. The portal is a circular opening, which you can make 5 to 20 feet in diameter. You can orient the portal in any direction you choose. The portal lasts for the duration, and the portal's destination is visible through it.The portal has a front and a back on each plane where it appears. Travel through the portal is possible only by moving through its front. Anything that does so is instantly transported to the other plane, appearing in the unoccupied space nearest to the portal.Deities and other planar rulers can prevent portals created by this spell from opening in their presence or anywhere within their domains.When you cast this spell, you can speak the name of a specific creature (a pseudonym, title, or nickname doesn't work). If that creature is on a plane other than the one you are on, the portal opens next to the named creature and transports it to the nearest unoccupied space on your side of the portal. You gain no special power over the creature, and it is free to act as the DM deems appropriate. It might leave, attack you, or help you.",""
"Geas","PHB'24","278","5th","1 Min.","30 days","Enchantment","60 feet","V","Bard, Cleric, Druid, Paladin, Wizard","","You give a verbal command to a creature that you can see within range, ordering it to carry out some service or refrain from an action or a course of activity as you decide. The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target automatically succeeds if it can't understand your command.While Charmed, the creature takes 5d10 Psychic damage if it acts in a manner directly counter to your command. It takes this damage no more than once each day.You can issue any command you choose, short of an activity that would result in certain death. Should you issue a suicidal command, the spell ends.A Remove Curse, Greater Restoration, or Wish spell ends this spell."," Using a Higher-Level Spell Slot. If you use a level 7 or 8 spell slot, the duration is 365 days. If you use a level 9 spell slot, the spell lasts until it is ended by one of the spells mentioned above."
"Gentle Repose","PHB'24","278","2nd","Action","10 days","Necromancy (ritual)","Touch","V, S, M (2 Copper Pieces, which the spell consumes)","Cleric, Paladin, Wizard","","You touch a corpse or other remains. For the duration, the target is protected from decay and can't become Undead.The spell also effectively extends the time limit on raising the target from the dead, since days spent under the influence of this spell don't count against the time limit of spells such as Raise Dead.",""
"Glyph of Warding","PHB'24","279","3rd","1 Hr.","Until dispelled or triggered","Abjuration","Touch","V, S, M (powdered diamond worth 200+ GP, which the spell consumes)","Artificer, Bard, Cleric, Wizard","","You inscribe a glyph that later unleashes a magical effect. You inscribe it either on a surface (such as a table or a section of floor) or within an object that can be closed (such as a book or chest) to conceal the glyph. The glyph can cover an area no larger than 10 feet in diameter. If the surface or object is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered.The glyph is nearly imperceptible and requires a successful Wisdom (Perception) check against your spell save DC to notice.When you inscribe the glyph, you set its trigger and choose whether it's an explosive rune or a spell glyph, as explained below. Set the Trigger. You decide what triggers the glyph when you cast the spell. For glyphs inscribed on a surface, common triggers include touching or stepping on the glyph, removing another object covering it, or approaching within a certain distance of it. For glyphs inscribed within an object, common triggers include opening that object or seeing the glyph. Once a glyph is triggered, this spell ends.You can refine the trigger so that only creatures of certain types activate it (for example, the glyph could be set to affect Aberrations). You can also set conditions for creatures that don't trigger the glyph, such as those who say a certain password. Explosive Rune. When triggered, the glyph erupts with magical energy in a 20-foot-radius Sphere centered on the glyph. Each creature in the area makes a Dexterity saving throw. A creature takes 5d8 Acid, Cold, Fire, Lightning, or Thunder damage (your choice when you create the glyph) on a failed save or half as much damage on a successful one. Spell Glyph. You can store a prepared spell of level 3 or lower in the glyph by casting it as part of creating the glyph. The spell must target a single creature or an area. The spell being stored has no immediate effect when cast in this way.When the glyph is triggered, the stored spell takes effect. If the spell has a target, it targets the creature that triggered the glyph. If the spell affects an area, the area is centered on that creature. If the spell summons Hostile creatures or creates harmful objects or traps, they appear as close as possible to the intruder and attack it. If the spell requires Concentration, it lasts until the end of its full duration."," Using a Higher-Level Spell Slot. The damage of an explosive rune increases by 1d8 for each spell slot level above 3. If you create a spell glyph, you can store any spell of up to the same level as the spell slot you use for the Glyph of Warding."
"Greater Restoration","PHB'24","281","5th","Action","Instantaneous","Abjuration","Touch","V, S, M (diamond dust worth 100+ GP, which the spell consumes)","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","You touch a creature and magically remove one of the following effects from it:1 Exhaustion levelThe Charmed or Petrified conditionA curse, including the target's Attunement to a cursed magic itemAny reduction to one of the target's ability scoresAny reduction to the target's Hit Point maximum",""
"Guardian of Faith","PHB'24","281","4th","Action","8 hours","Conjuration","30 feet","V","Cleric","","A Large spectral guardian appears and hovers for the duration in an unoccupied space that you can see within range. The guardian occupies that space and is invulnerable, and it appears in a form appropriate for your deity or pantheon.Any enemy that moves to a space within 10 feet of the guardian for the first time on a turn or starts its turn there makes a Dexterity saving throw, taking 20 Radiant damage on a failed save or half as much damage on a successful one. The guardian vanishes when it has dealt a total of 60 damage.",""
"Guidance","PHB'24","282","Cantrip","Action","Concentration, up to 1 minute","Divination","Touch","V, S","Artificer, Cleric, Druid","","You touch a willing creature and choose a skill. Until the spell ends, the creature adds 1d4 to any ability check using the chosen skill.",""
"Guiding Bolt","PHB'24","282","1st","Action","1 round","Evocation","120 feet","V, S","Cleric","","You hurl a bolt of light toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 4d6 Radiant damage, and the next attack roll made against it before the end of your next turn has Advantage."," Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1."
"Hallow","PHB'24","283","5th","24 Hr.","Until dispelled","Abjuration","Touch","V, S, M (incense worth 1,000+ GP, which the spell consumes)","Cleric","","You touch a point and infuse an area around it with holy or unholy power. The area can have a radius up to 60 feet, and the spell fails if the radius includes an area already under the effect of Hallow. The affected area has the following effects. Hallowed Ward. Choose any of these creature types: Aberration, Celestial, Elemental, Fey, Fiend, or Undead. Creatures of the chosen types can't willingly enter the area, and any creature that is possessed by or that has the Charmed or Frightened condition from such creatures isn't possessed, Charmed, or Frightened by them while in the area. Extra Effect. You bind an extra effect to the area from the list below:Courage. Creatures of any types you choose can't gain the Frightened condition while in the area.Darkness. Darkness fills the area. Normal light, as well as magical light created by spells of a level lower than this spell, can't illuminate the area.Daylight. Bright light fills the area. Magical Darkness created by spells of a level lower than this spell can't extinguish the light.Peaceful Rest. Dead bodies interred in the area can't be turned into Undead.Extradimensional Interference. Creatures of any types you choose can't enter or exit the area using teleportation or interplanar travel.Fear. Creatures of any types you choose have the Frightened condition while in the area.Resistance. Creatures of any types you choose have Resistance to one damage type of your choice while in the area.Silence. No sound can emanate from within the area, and no sound can reach into it.Tongues. Creatures of any types you choose can communicate with any other creature in the area even if they don't share a common language.Vulnerability. Creatures of any types you choose have Vulnerability to one damage type of your choice while in the area.",""
"Harm","PHB'24","283","6th","Action","Instantaneous","Necromancy","60 feet","V, S","Cleric","","You unleash virulent magic on a creature you can see within range. The target makes a Constitution saving throw. On a failed save, it takes 14d6 Necrotic damage, and its Hit Point maximum is reduced by an amount equal to the Necrotic damage it took. On a successful save, it takes half as much damage only. This spell can't reduce a target's Hit Point maximum below 1.",""
"Heal","PHB'24","284","6th","Action","Instantaneous","Abjuration","60 feet","V, S","Cleric, Druid","","Choose a creature that you can see within range. Positive energy washes through the target, restoring 70 Hit Points. This spell also ends the Blinded, Deafened, and Poisoned conditions on the target."," Using a Higher-Level Spell Slot. The healing increases by 10 for each spell slot level above 6."
"Healing Word","PHB'24","284","1st","Bonus","Instantaneous","Abjuration","60 feet","V","Bard, Cleric, Druid","","A creature of your choice that you can see within range regains Hit Points equal to 2d4 plus your spellcasting ability modifier."," Using a Higher-Level Spell Slot. The healing increases by 2d4 for each spell slot level above 1."
"Heroes' Feast","PHB'24","284","6th","10 Min.","Instantaneous","Conjuration","Self","V, S, M (a gem-encrusted bowl worth 1,000+ GP, which the spell consumes)","Bard, Cleric, Druid","","You conjure a feast that appears on a surface in an unoccupied 10-foot Cube next to you. The feast takes 1 hour to consume and disappears at the end of that time, and the beneficial effects don't set in until this hour is over. Up to twelve creatures can partake of the feast.A creature that partakes gains several benefits, which last for 24 hours. The creature has Resistance to Poison damage, and it has Immunity to the Frightened and Poisoned conditions. Its Hit Point maximum also increases by 2d10, and it gains the same number of Hit Points.",""
"Hold Person","PHB'24","286","2nd","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S, M (a straight piece of iron)","Bard, Cleric, Druid, Sorcerer, Warlock, Wizard","","Choose a Humanoid that you can see within range. The target must succeed on a Wisdom saving throw or have the Paralyzed condition for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success."," Using a Higher-Level Spell Slot. You can target one additional Humanoid for each spell slot level above 2."
"Holy Aura","PHB'24","286","8th","Action","Concentration, up to 1 minute","Abjuration","Self","V, S, M (a reliquary worth 1,000+ GP)","Cleric","","For the duration, you emit an aura in a 30-foot Emanation. While in the aura, creatures of your choice have Advantage on all saving throws, and other creatures have Disadvantage on attack rolls against them. In addition, when a Fiend or an Undead hits an affected creature with a melee attack roll, the attacker must succeed on a Constitution saving throw or have the Blinded condition until the end of its next turn.",""
"Holy Weapon","XGE","157","5th","Bonus","Concentration, up to 1 hour","Evocation","Touch","V, S","Cleric, Cleric, Paladin, Paladin","","You imbue a weapon you touch with holy power. Until the spell ends, the weapon emits bright light in a 30-foot radius and dim light for an additional 30 feet. In addition, weapon attacks made with it deal an extra 2d8 radiant damage on a hit. If the weapon isn't already a magic weapon, it becomes one for the duration.As a bonus action on your turn, you can dismiss this spell and cause the weapon to emit a burst of radiance. Each creature of your choice that you can see within 30 feet of the weapon must make a Constitution saving throw. On a failed save, a creature takes 4d8 radiant damage, and it is blinded for 1 minute. On a successful save, a creature takes half as much damage and isn't blinded. At the end of each of its turns, a blinded creature can make a Constitution saving throw, ending the effect on itself on a success.",""
"Incite Greed","AI","76","3rd","Action","Concentration, up to 1 minute","Enchantment","30 feet","V, S, M (a gem worth at least 50 gp)","Cleric, Cleric, Warlock, Warlock, Wizard, Wizard","","When you cast this spell, you present the gem used as the material component and choose any number of creatures within range that can see you. Each target must succeed on a Wisdom saving throw or be charmed by you until the spell ends, or until you or your companions do anything harmful to it. While charmed in this way, a creature can do nothing but use its movement to approach you in a safe manner. While an affected creature is within 5 feet of you, it cannot move, but simply stares greedily at the gem you present.At the end of each of its turns, an affected target can make a Wisdom saving throw. If it succeeds, this effect ends for that target.",""
"Inflict Wounds","PHB'24","288","1st","Action","Instantaneous","Necromancy","Touch","V, S","Cleric","","A creature you touch makes a Constitution saving throw, taking 2d10 Necrotic damage on a failed save or half as much damage on a successful one."," Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1."
"Insect Plague","PHB'24","289","5th","Action","Concentration, up to 10 minutes","Conjuration","300 feet","V, S, M (a locust)","Cleric, Druid, Sorcerer","","Swarming locusts fill a 20-foot-radius Sphere centered on a point you choose within range. The Sphere remains for the duration, and its area is Lightly Obscured and Difficult Terrain.When the swarm appears, each creature in it makes a Constitution saving throw, taking 4d10 Piercing damage on a failed save or half as much damage on a successful one. A creature also makes this save when it enters the spell's area for the first time on a turn or ends its turn there. A creature makes this save only once per turn."," Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 5."
"Legend Lore","PHB'24","290","5th","10 Min.","Instantaneous","Divination","Self","V, S, M (incense worth 250+ GP, which the spell consumes, and four ivory strips worth 50+ GP each)","Bard, Cleric, Wizard","","Name or describe a famous person, place, or object. The spell brings to your mind a brief summary of the significant lore about that famous thing, as described by the DM.The lore might consist of important details, amusing revelations, or even secret lore that has never been widely known. The more information you already know about the thing, the more precise and detailed the information you receive is. That information is accurate but might be couched in figurative language or poetry, as determined by the DM.If the famous thing you chose isn't actually famous, you hear sad musical notes played on a trombone, and the spell fails.",""
"Lesser Restoration","PHB'24","291","2nd","Bonus","Instantaneous","Abjuration","Touch","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","You touch a creature and end one condition on it: Blinded, Deafened, Paralyzed, or Poisoned.",""
"Life Transference","XGE","160","3rd","Action","Instantaneous","Necromancy","30 feet","V, S","Cleric, Cleric, Wizard, Wizard","","You sacrifice some of your health to mend another creature's injuries. You take 4d8 necrotic damage, which can't be reduced in any way, and one creature of your choice that you can see within range regains a number of hit points equal to twice the necrotic damage you take."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d8 for each slot level above 3rd."
"Light","PHB'24","292","Cantrip","Action","1 hour","Evocation","Touch","V, M (a firefly or phosphorescent moss)","Artificer, Bard, Cleric, Sorcerer, Wizard","","You touch one Large or smaller object that isn't being worn or carried by someone else. Until the spell ends, the object sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. The light can be colored as you like.Covering the object with something opaque blocks the light. The spell ends if you cast it again.",""
"Locate Creature","PHB'24","292","4th","Action","Concentration, up to 1 hour","Divination","Self","V, S, M (fur from a bloodhound)","Bard, Cleric, Druid, Paladin, Ranger, Wizard","","Describe or name a creature that is familiar to you. You sense the direction to the creature's location if that creature is within 1,000 feet of you. If the creature is moving, you know the direction of its movement.The spell can locate a specific creature known to you or the nearest creature of a specific kind (such as a human or a unicorn) if you have seen such a creature up close—within 30 feet—at least once. If the creature you described or named is in a different form, such as under the effects of a Flesh to Stone or Polymorph spell, this spell doesn't locate the creature.This spell can't locate a creature if any thickness of lead blocks a direct path between you and the creature.",""
"Locate Object","PHB'24","293","2nd","Action","Concentration, up to 10 minutes","Divination","Self","V, S, M (a forked twig)","Bard, Cleric, Druid, Paladin, Ranger, Wizard","","Describe or name an object that is familiar to you. You sense the direction to the object's location if that object is within 1,000 feet of you. If the object is in motion, you know the direction of its movement.The spell can locate a specific object known to you if you have seen it up close—within 30 feet—at least once. Alternatively, the spell can locate the nearest object of a particular kind, such as a certain kind of apparel, jewelry, furniture, tool, or weapon.This spell can't locate an object if any thickness of lead blocks a direct path between you and the object.",""
"Magic Circle","PHB'24","293","3rd","1 Min.","1 hour","Abjuration","10 feet","V, S, M (salt and powdered silver worth 100+ GP, which the spell consumes)","Cleric, Paladin, Warlock, Wizard","","You create a 10-foot-radius, 20-foot-tall Cylinder of magical energy centered on a point on the ground that you can see within range. Glowing runes appear wherever the Cylinder intersects with the floor or other surface.Choose one or more of the following types of creatures: Celestials, Elementals, Fey, Fiends, or Undead. The circle affects a creature of the chosen type in the following ways:The creature can't willingly enter the Cylinder by nonmagical means. If the creature tries to use teleportation or interplanar travel to do so, it must first succeed on a Charisma saving throw.The creature has Disadvantage on attack rolls against targets within the Cylinder.Targets within the Cylinder can't be possessed by or gain the Charmed or Frightened condition from the creature.Each time you cast this spell, you can cause its magic to operate in the reverse direction, preventing a creature of the specified type from leaving the Cylinder and protecting targets outside it."," Using a Higher-Level Spell Slot. The duration increases by 1 hour for each spell slot level above 3."
"Mass Cure Wounds","PHB'24","296","5th","Action","Instantaneous","Abjuration","60 feet","V, S","Bard, Cleric, Druid","","A wave of healing energy washes out from a point you can see within range. Choose up to six creatures in a 30-foot-radius Sphere centered on that point. Each target regains Hit Points equal to 5d8 plus your spellcasting ability modifier."," Using a Higher-Level Spell Slot. The healing increases by 1d8 for each spell slot level above 5."
"Mass Heal","PHB'24","296","9th","Action","Instantaneous","Abjuration","60 feet","V, S","Cleric","","A flood of healing energy flows from you into creatures around you. You restore up to 700 Hit Points, divided as you choose among any number of creatures that you can see within range. Creatures healed by this spell also have the Blinded, Deafened, and Poisoned conditions removed from them.",""
"Mass Healing Word","PHB'24","296","3rd","Bonus","Instantaneous","Abjuration","60 feet","V","Bard, Cleric","","Up to six creatures of your choice that you can see within range regain Hit Points equal to 2d4 plus your spellcasting ability modifier."," Using a Higher-Level Spell Slot. The healing increases by 1d4 for each spell slot level above 3."
"Meld into Stone","PHB'24","296","3rd","Action","8 hours","Transmutation (ritual)","Touch","V, S","Cleric, Druid, Ranger","","You step into a stone object or surface large enough to fully contain your body, merging yourself and your equipment with the stone for the duration. You must touch the stone to do so. Nothing of your presence remains visible or otherwise detectable by nonmagical senses.While merged with the stone, you can't see what occurs outside it, and any Wisdom (Perception) checks you make to hear sounds outside it are made with Disadvantage. You remain aware of the passage of time and can cast spells on yourself while merged in the stone. You can use 5 feet of movement to leave the stone where you entered it, which ends the spell. You otherwise can't move.Minor physical damage to the stone doesn't harm you, but its partial destruction or a change in its shape (to the extent that you no longer fit within it) expels you and deals 6d6 Force damage to you. The stone's complete destruction (or transmutation into a different substance) expels you and deals 50 Force damage to you. If expelled, you move into an unoccupied space closest to where you first entered and have the Prone condition.",""
"Mending","PHB'24","297","Cantrip","1 Min.","Instantaneous","Transmutation","Touch","V, S, M (two lodestones)","Artificer, Bard, Cleric, Druid, Sorcerer, Wizard","","This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage.This spell can physically repair a magic item, but it can't restore magic to such an object.",""
"Motivational Speech","AI","77","3rd","1 Min.","1 hour","Enchantment","60 feet","V","Bard, Bard, Cleric, Cleric","","“I once heard a motivational speech by Jim and it was the worst ninety seconds of my life. What does Omin see in him, anyway?”— Walnut DankgrassYou address allies, staff, or innocent bystanders to exhort and inspire them to greatness, whether they have anything to get excited about or not. Choose up to five creatures within range that can hear you. For the duration, each affected creature gains 5 temporary hit points and has advantage on Wisdom saving throws. If an affected creature is hit by an attack, it has advantage on the next attack roll it makes. Once an affected creature loses the temporary hit points granted by this spell, the spell ends for that creature."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the temporary hit points increase by 5 for each slot level above 3rd."
"Planar Ally","PHB'24","304","6th","10 Min.","Instantaneous","Conjuration","60 feet","V, S","Cleric","","You beseech an otherworldly entity for aid. The being must be known to you: a god, a demon prince, or some other being of cosmic power. That entity sends a Celestial, an Elemental, or a Fiend loyal to it to aid you, making the creature appear in an unoccupied space within range. If you know a specific creature's name, you can speak that name when you cast this spell to request that creature, though you might get a different creature anyway (DM's choice).When the creature appears, it is under no compulsion to behave a particular way. You can ask it to perform a service in exchange for payment, but it isn't obliged to do so. The requested task could range from simple (fly us across the chasm, or help us fight a battle) to complex (spy on our enemies, or protect us during our foray into the dungeon). You must be able to communicate with the creature to bargain for its services.Payment can take a variety of forms. A Celestial might require a sizable donation of gold or magic items to an allied temple, while a Fiend might demand a living sacrifice or a gift of treasure. Some creatures might exchange their service for a quest undertaken by you.A task that can be measured in minutes requires a payment worth 100 GP per minute. A task measured in hours requires 1,000 GP per hour. And a task measured in days (up to 10 days) requires 10,000 GP per day. The DM can adjust these payments based on the circumstances under which you cast the spell. If the task is aligned with the creature's ethos, the payment might be halved or even waived. Nonhazardous tasks typically require only half the suggested payment, while especially dangerous tasks might require a greater gift. Creatures rarely accept tasks that seem suicidal.After the creature completes the task, or when the agreed-upon duration of service expires, the creature returns to its home plane after reporting back to you if possible. If you are unable to agree on a price for the creature's service, the creature immediately returns to its home plane.",""
"Planar Binding","PHB'24","305","5th","1 Hr.","24 hours","Abjuration","60 feet","V, S, M (a jewel worth 1,000+ GP, which the spell consumes)","Bard, Cleric, Druid, Warlock, Wizard","","You attempt to bind a Celestial, an Elemental, a Fey, or a Fiend to your service. The creature must be within range for the entire casting of the spell. (Typically, the creature is first summoned into the center of the inverted version of the Magic Circle spell to trap it while this spell is cast.) At the completion of the casting, the target must succeed on a Charisma saving throw or be bound to serve you for the duration. If the creature was summoned or created by another spell, that spell's duration is extended to match the duration of this spell.A bound creature must follow your commands to the best of its ability. You might command the creature to accompany you on an adventure, to guard a location, or to deliver a message. If the creature is Hostile, it strives to twist your commands to achieve its own objectives. If the creature carries out your commands completely before the spell ends, it travels to you to report this fact if you are on the same plane of existence. If you are on a different plane, it returns to the place where you bound it and remains there until the spell ends."," Using a Higher-Level Spell Slot. The duration increases with a spell slot of level 6 (10 days), 7 (30 days), 8 (180 days), and 9 (366 days)."
"Plane Shift","PHB'24","305","7th","Action","Instantaneous","Conjuration","Touch","V, S, M (a forked, metal rod worth 250+ GP and attuned to a plane of existence)","Cleric, Druid, Sorcerer, Warlock, Wizard","","You and up to eight willing creatures who link hands in a circle are transported to a different plane of existence. You can specify a target destination in general terms, such as the City of Brass on the Elemental Plane of Fire or the palace of Dispater on the second level of the Nine Hells, and you appear in or near that destination, as determined by the DM.Alternatively, if you know the sigil sequence of a teleportation circle on another plane of existence, this spell can take you to that circle. If the teleportation circle is too small to hold all the creatures you transported, they appear in the closest unoccupied spaces next to the circle.",""
"Power Word Fortify","PHB'24","306","7th","Action","Instantaneous","Enchantment","60 feet","V","Bard, Cleric","","You fortify up to six creatures you can see within range. The spell bestows 120 Temporary Hit Points, which you divide among the spell's recipients.",""
"Power Word Heal","PHB'24","306","9th","Action","Instantaneous","Enchantment","60 feet","V, S","Bard, Cleric","","A wave of healing energy washes over one creature you can see within range. The target regains all its Hit Points. If the creature has the Charmed, Frightened, Paralyzed, Poisoned, or Stunned condition, the condition ends. If the creature has the Prone condition, it can use its Reaction to stand up.",""
"Prayer of Healing","PHB'24","307","2nd","10 Min.","Instantaneous","Abjuration","30 feet","V","Cleric, Paladin","","Up to five creatures of your choice who remain within range for the spell's entire casting gain the benefits of a Short Rest and also regain 2d8 Hit Points. A creature can't be affected by this spell again until that creature finishes a Long Rest."," Using a Higher-Level Spell Slot. The healing increases by 1d8 for each spell slot level above 2."
"Protection from Energy","PHB'24","309","3rd","Action","Concentration, up to 1 hour","Abjuration","Touch","V, S","Artificer, Cleric, Druid, Ranger, Sorcerer, Wizard","","For the duration, the willing creature you touch has Resistance to one damage type of your choice: Acid, Cold, Fire, Lightning, or Thunder.",""
"Protection from Evil and Good","PHB'24","309","1st","Action","Concentration, up to 10 minutes","Abjuration","Touch","V, S, M (a flask of Holy Water worth 25+ GP, which the spell consumes)","Cleric, Druid, Paladin, Warlock, Wizard","","Until the spell ends, one willing creature you touch is protected against creatures that are Aberrations, Celestials, Elementals, Fey, Fiends, or Undead. The protection grants several benefits. Creatures of those types have Disadvantage on attack rolls against the target. The target also can't be possessed by or gain the Charmed or Frightened conditions from them. If the target is already possessed, Charmed, or Frightened by such a creature, the target has Advantage on any new saving throw against the relevant effect.",""
"Protection from Poison","PHB'24","310","2nd","Action","1 hour","Abjuration","Touch","V, S","Artificer, Cleric, Druid, Paladin, Ranger","","You touch a creature and end the Poisoned condition on it. For the duration, the target has Advantage on saving throws to avoid or end the Poisoned condition, and it has Resistance to Poison damage.",""
"Purify Food and Drink","PHB'24","310","1st","Action","Instantaneous","Transmutation (ritual)","10 feet","V, S","Artificer, Cleric, Druid, Paladin","","You remove poison and rot from nonmagical food and drink in a 5-foot-radius Sphere centered on a point within range.",""
"Raise Dead","PHB'24","310","5th","1 Hr.","Instantaneous","Necromancy","Touch","V, S, M (a diamond worth 500+ GP, which the spell consumes)","Bard, Cleric, Paladin","","With a touch, you revive a dead creature if it has been dead no longer than 10 days and it wasn't Undead when it died.The creature returns to life with 1 Hit Point. This spell also neutralizes any poisons that affected the creature at the time of death.This spell closes all mortal wounds, but it doesn't restore missing body parts. If the creature is lacking body parts or organs integral for its survival—its head, for instance—the spell automatically fails.Coming back from the dead is an ordeal. The target takes a -4 penalty to D20 Tests. Every time the target finishes a Long Rest, the penalty is reduced by 1 until it becomes 0.",""
"Regenerate","PHB'24","311","7th","1 Min.","1 hour","Transmutation","Touch","V, S, M (a prayer wheel)","Bard, Cleric, Druid","","A creature you touch regains 4d8 + 15 Hit Points. For the duration, the target regains 1 Hit Point at the start of each of its turns, and any severed body parts regrow after 2 minutes.",""
"Remove Curse","PHB'24","312","3rd","Action","Instantaneous","Abjuration","Touch","V, S","Cleric, Paladin, Warlock, Wizard","","At your touch, all curses affecting one creature or object end. If the object is a cursed magic item, its curse remains, but the spell breaks its owner's Attunement to the object so it can be removed or discarded.",""
"Resistance","PHB'24","312","Cantrip","Action","Concentration, up to 1 minute","Abjuration","Touch","V, S","Artificer, Cleric, Druid","","You touch a willing creature and choose a damage type: Acid, Bludgeoning, Cold, Fire, Lightning, Necrotic, Piercing, Poison, Radiant, Slashing, or Thunder. When the creature takes damage of the chosen type before the spell ends, the creature reduces the total damage taken by 1d4. A creature can benefit from this spell only once per turn.",""
"Resurrection","PHB'24","312","7th","1 Hr.","Instantaneous","Necromancy","Touch","V, S, M (a diamond worth 1,000+ GP, which the spell consumes)","Bard, Cleric","","With a touch, you revive a dead creature that has been dead for no more than a century, didn't die of old age, and wasn't Undead when it died.The creature returns to life with all its Hit Points. This spell also neutralizes any poisons that affected the creature at the time of death. This spell closes all mortal wounds and restores any missing body parts.Coming back from the dead is an ordeal. The target takes a -4 penalty to D20 Tests. Every time the target finishes a Long Rest, the penalty is reduced by 1 until it becomes 0.Casting this spell to revive a creature that has been dead for 365 days or longer taxes you. Until you finish a Long Rest, you can't cast spells again, and you have Disadvantage on D20 Tests.",""
