"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Druid Grove","XGE","154","6th","10 Min.","24 hours","Abjuration","Touch","V, S, M (mistletoe, which the spell consumes, that was harvested with a golden sickle under the light of a full moon)","Druid, Druid","","You invoke the spirits of nature to protect an area outdoors or underground. The area can be as small as a 30-foot cube or as large as a 90-foot cube. Buildings and other structures are excluded from the affected area. If you cast this spell in the same area every day for a year, the spell lasts until dispelled.The spell creates the following effects within the area. When you cast this spell, you can specify creatures as friends who are immune to the effects. You can also specify a password that, when spoken aloud, makes the speaker immune to these effects.The entire warded area radiates magic. A dispel magic cast on the area, if successful, removes only one of the following effects, not the entire area. That spell's caster chooses which effect to end. Only when all its effects are gone is this spell dispelled. Solid Fog. You can fill any number of 5-foot squares on the ground with thick fog, making them heavily obscured. The fog reaches 10 feet high. In addition, every foot of movement through the fog costs 2 extra feet. To a creature immune to this effect, the fog obscures nothing and looks like soft mist, with motes of green light floating in the air. Grasping Undergrowth. You can fill any number of 5-foot squares on the ground that aren't filled with fog with grasping weeds and vines, as if they were affected by an entangle spell. To a creature immune to this effect, the weeds and vines feel soft and reshape themselves to serve as temporary seats or beds. Grove Guardians. You can animate up to four trees in the area, causing them to uproot themselves from the ground. These trees have the same statistics as an awakened tree, which appears in the Monster Manual, except they can't speak, and their bark is covered with druidic symbols. If any creature not immune to this effect enters the warded area, the grove guardians fight until they have driven off or slain the intruders. The grove guardians also obey your spoken commands (no action required by you) that you issue while in the area. If you don't give them commands and no intruders are present, the grove guardians do nothing. The grove guardians can't leave the warded area. When the spell ends, the magic animating them disappears, and the trees take root again if possible. Additional Spell Effect. You can place your choice of one of the following magical effects within the warded area:A constant gust of wind in two locations of your choiceSpike growth in one location of your choiceWind wall in two locations of your choiceTo a creature immune to this effect, the winds are a fragrant, gentle breeze, and the area of spike growth is harmless.",""
"Druidcraft","PHB'24","266","Cantrip","Action","Instantaneous","Transmutation","30 feet","V, S","Druid","","Whispering to the spirits of nature, you create one of the following effects within range. Weather Sensor. You create a Tiny, harmless sensory effect that predicts what the weather will be at your location for the next 24 hours. The effect might manifest as a golden orb for clear skies, a cloud for rain, falling snowflakes for snow, and so on. This effect persists for 1 round. Bloom. You instantly make a flower blossom, a seed pod open, or a leaf bud bloom. Sensory Effect. You create a harmless sensory effect, such as falling leaves, spectral dancing fairies, a gentle breeze, the sound of an animal, or the faint odor of skunk. The effect must fit in a 5-foot Cube. Fire Play. You light or snuff out a candle, a torch, or a campfire.",""
"Dust Devil","XGE","154","2nd","Action","Concentration, up to 1 minute","Conjuration","60 feet","V, S, M (a pinch of dust)","Druid, Druid, Sorcerer, Sorcerer, Wizard, Wizard","","Choose an unoccupied 5-foot cube of air that you can see within range. An elemental force that resembles a dust devil appears in the cube and lasts for the spell's duration.Any creature that ends its turn within 5 feet of the dust devil must make a Strength saving throw. On a failed save, the creature takes 1d8 bludgeoning damage and is pushed 10 feet away from the dust devil. On a successful save, the creature takes half as much damage and isn't pushed.As a bonus action, you can move the dust devil up to 30 feet in any direction. If the dust devil moves over sand, dust, loose dirt, or light gravel, it sucks up the material and forms a 10-foot-radius cloud of debris around itself that lasts until the start of your next turn. The cloud heavily obscures its area."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd."
"Earth Tremor","XGE","155","1st","Action","Instantaneous","Evocation","10 feet","V, S","Bard, Bard, Druid, Druid, Sorcerer, Sorcerer, Wizard, Wizard","","You cause a tremor in the ground within range. Each creature other than you in that area must make a Dexterity saving throw. On a failed save, a creature takes 1d6 bludgeoning damage and is knocked prone. If the ground in that area is loose earth or stone, it becomes difficult terrain until cleared, with each 5-foot-diameter portion requiring at least 1 minute to clear by hand."," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st."
"Earthbind","XGE","154","2nd","Action","Concentration, up to 1 minute","Transmutation","300 feet","V","Druid, Druid, Sorcerer, Sorcerer, Warlock, Warlock, Wizard, Wizard","","Choose one creature you can see within range. Yellow strips of magical energy loop around the creature. The target must succeed on a Strength saving throw, or its flying speed (if any) is reduced to 0 feet for the spell's duration. An airborne creature affected by this spell safely descends at 60 feet per round until it reaches the ground or the spell ends.",""
"Earthquake","PHB'24","267","8th","Action","Concentration, up to 1 minute","Transmutation","500 feet","V, S, M (a fractured rock)","Cleric, Druid, Sorcerer","","Choose a point on the ground that you can see within range. For the duration, an intense tremor rips through the ground in a 100-foot-radius circle centered on that point. The ground there is Difficult Terrain.When you cast this spell and at the end of each of your turns for the duration, each creature on the ground in the area makes a Dexterity saving throw. On a failed save, a creature has the Prone condition, and its Concentration is broken.You can also cause the effects below. Fissures. A total of 1d6 fissures open in the spell's area at the end of the turn you cast it. You choose the fissures' locations, which can't be under structures. Each fissure is 1d10 × 10 feet deep and 10 feet wide, and it extends from one edge of the spell's area to another edge. A creature in the same space as a fissure must succeed on a Dexterity saving throw or fall in. A creature that successfully saves moves with the fissure's edge as it opens. Structures. The tremor deals 50 Bludgeoning damage to any structure in contact with the ground in the area when you cast the spell and at the end of each of your turns until the spell ends. If a structure drops to 0 Hit Points, it collapses.A creature within a distance from a collapsing structure equal to half the structure's height makes a Dexterity saving throw. On a failed save, the creature takes 12d6 Bludgeoning damage, has the Prone condition, and is buried in the rubble, requiring a DC 20 Strength (Athletics) check as an action to escape. On a successful save, the creature takes half as much damage only.",""
"Elemental Bane","XGE","155","4th","Action","Concentration, up to 1 minute","Transmutation","90 feet","V, S","Artificer, Druid, Druid, Warlock, Warlock, Wizard, Wizard","","Choose one creature you can see within range, and choose one of the following damage types: acid, cold, fire, lightning, or thunder. The target must succeed on a Constitution saving throw or be affected by the spell for its duration. The first time each turn the affected target takes damage of the chosen type, the target takes an extra 2d6 damage of that type. Moreover, the target loses any resistance to that damage type until the spell ends."," At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, you can target one additional creature for each slot level above 4th. The creatures must be within 30 feet of each other when you target them."
"Elemental Weapon","PHB'24","267","3rd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S","Artificer, Druid, Paladin, Ranger","","A nonmagical weapon you touch becomes a magic weapon. Choose one of the following damage types: Acid, Cold, Fire, Lightning, or Thunder. For the duration, the weapon has a +1 bonus to attack rolls and deals an extra 1d4 damage of the chosen type when it hits."," Using a Higher-Level Spell Slot. If you use a level 5-6 spell slot, the bonus to attack rolls increases to +2, and the extra damage increases to 2d4. If you use a level 7+ spell slot, the bonus increases to +3, and the extra damage increases to 3d4."
"Elementalism","PHB'24","267","Cantrip","Action","Instantaneous","Transmutation","30 feet","V, S","Druid, Sorcerer, Wizard","","You exert control over the elements, creating one of the following effects within range. Beckon Air. You create a breeze strong enough to ripple cloth, stir dust, rustle leaves, and close open doors and shutters, all in a 5-foot Cube. Doors and shutters being held open by someone or something aren't affected. Beckon Earth. You create a thin shroud of dust or sand that covers surfaces in a 5-foot-square area, or you cause a single word to appear in your handwriting in a patch of dirt or sand. Beckon Fire. You create a thin cloud of harmless embers and colored, scented smoke in a 5-foot Cube. You choose the color and scent, and the embers can light candles, torches, or lamps in that area. The smoke's scent lingers for 1 minute. Beckon Water. You create a spray of cool mist that lightly dampens creatures and objects in a 5-foot Cube. Alternatively, you create 1 cup of clean water either in an open container or on a surface, and the water evaporates in 1 minute. Sculpt Element. You cause dirt, sand, fire, smoke, mist, or water that can fit in a 1-foot Cube to assume a crude shape (such as that of a creature) for 1 hour.",""
"Enhance Ability","PHB'24","268","2nd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S, M (fur or a feather)","Artificer, Bard, Cleric, Druid, Ranger, Sorcerer, Wizard","","You touch a creature and choose Strength, Dexterity, Intelligence, Wisdom, or Charisma. For the duration, the target has Advantage on ability checks using the chosen ability."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2. You can choose a different ability for each target."
"Enlarge/Reduce","PHB'24","268","2nd","Action","Concentration, up to 1 minute","Transmutation","30 feet","V, S, M (a pinch of powdered iron)","Artificer, Bard, Druid, Sorcerer, Wizard","","For the duration, the spell enlarges or reduces a creature or an object you can see within range (see the chosen effect below). A targeted object must be neither worn nor carried. If the target is an unwilling creature, it can make a Constitution saving throw. On a successful save, the spell has no effect.Everything that a targeted creature is wearing and carrying changes size with it. Any item it drops returns to normal size at once. A thrown weapon or piece of ammunition returns to normal size immediately after it hits or misses a target. Enlarge. The target's size increases by one category—from Medium to Large, for example. The target also has Advantage on Strength checks and Strength saving throws. The target's attacks with its enlarged weapons or Unarmed Strikes deal an extra 1d4 damage on a hit. Reduce. The target's size decreases by one category—from Medium to Small, for example. The target also has Disadvantage on Strength checks and Strength saving throws. The target's attacks with its reduced weapons or Unarmed Strikes deal 1d4 less damage on a hit (this can't reduce the damage below 1).",""
"Entangle","PHB'24","268","1st","Action","Concentration, up to 1 minute","Conjuration","90 feet","V, S","Druid, Ranger","","Grasping plants sprout from the ground in a 20-foot square within range. For the duration, these plants turn the ground in the area into Difficult Terrain. They disappear when the spell ends.Each creature (other than you) in the area when you cast the spell must succeed on a Strength saving throw or have the Restrained condition until the spell ends. A Restrained creature can take an action to make a Strength (Athletics) check against your spell save DC. On a success, it frees itself from the grasping plants and is no longer Restrained by them.",""
"Erupting Earth","XGE","155","3rd","Action","Instantaneous","Transmutation","120 feet","V, S, M (a piece of obsidian)","Druid, Druid, Sorcerer, Sorcerer, Wizard, Wizard","","Choose a point you can see on the ground within range. A fountain of churned earth and stone erupts in a 20-foot cube centered on that point. Each creature in that area must make a Dexterity saving throw. A creature takes 3d12 bludgeoning damage on a failed save, or half as much damage on a successful one. Additionally, the ground in that area becomes difficult terrain until cleared. Each 5-foot-square portion of the area requires at least 1 minute to clear by hand."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d12 for each slot level above 3rd."
"Faerie Fire","PHB'24","271","1st","Action","Concentration, up to 1 minute","Evocation","60 feet","V","Artificer, Bard, Druid","","Objects in a 20-foot Cube within range are outlined in blue, green, or violet light (your choice). Each creature in the Cube is also outlined if it fails a Dexterity saving throw. For the duration, objects and affected creatures shed Dim Light in a 10-foot radius and can't benefit from the Invisible condition.Attack rolls against an affected creature or object have Advantage if the attacker can see it.",""
"Feign Death","PHB'24","271","3rd","Action","1 hour","Necromancy (ritual)","Touch","V, S, M (a pinch of graveyard dirt)","Bard, Cleric, Druid, Wizard","","You touch a willing creature and put it into a cataleptic state that is indistinguishable from death.For the duration, the target appears dead to outward inspection and to spells used to determine the target's status. The target has the Blinded and Incapacitated conditions, and its Speed is 0.The target also has Resistance to all damage except Psychic damage, and it has Immunity to the Poisoned condition.",""
"Find Traps","PHB'24","273","2nd","Action","Instantaneous","Divination","120 feet","V, S","Cleric, Druid, Ranger","","You sense any trap within range that is within line of sight. A trap, for the purpose of this spell, includes any object or mechanism that was created to cause damage or other danger. Thus, the spell would sense the Alarm or Glyph of Warding spell or a mechanical pit trap, but it wouldn't reveal a natural weakness in the floor, an unstable ceiling, or a hidden sinkhole.This spell reveals that a trap is present but not its location. You do learn the general nature of the danger posed by a trap you sense.",""
"Find the Path","PHB'24","273","6th","1 Min.","Concentration, up to 1 day","Divination","Self","V, S, M (a set of divination tools—such as cards or runes—worth 100+ GP)","Bard, Cleric, Druid","","You magically sense the most direct physical route to a location you name. You must be familiar with the location, and the spell fails if you name a destination on another plane of existence, a moving destination (such as a mobile fortress), or an unspecific destination (such as ""a green dragon's lair"").For the duration, as long as you are on the same plane of existence as the destination, you know how far it is and in what direction it lies. Whenever you face a choice of paths along the way there, you know which path is the most direct.",""
"Fire Shield","PHB'24","274","4th","Action","10 minutes","Evocation","Self","V, S, M (a bit of phosphorus or a firefly)","Druid, Sorcerer, Wizard","","Wispy flames wreathe your body for the duration, shedding Bright Light in a 10-foot radius and Dim Light for an additional 10 feet.The flames provide you with a warm shield or a chill shield, as you choose. The warm shield grants you Resistance to Cold damage, and the chill shield grants you Resistance to Fire damage.In addition, whenever a creature within 5 feet of you hits you with a melee attack roll, the shield erupts with flame. The attacker takes 2d8 Fire damage from a warm shield or 2d8 Cold damage from a chill shield.",""
"Fire Storm","PHB'24","275","7th","Action","Instantaneous","Evocation","150 feet","V, S","Cleric, Druid, Sorcerer","","A storm of fire appears within range. The area of the storm consists of up to ten 10-foot Cubes, which you arrange as you like. Each Cube must be contiguous with at least one other Cube. Each creature in the area makes a Dexterity saving throw, taking 7d10 Fire damage on a failed save or half as much damage on a successful one.Flammable objects in the area that aren't being worn or carried start burning.",""
"Flame Arrows","XGE","156","3rd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S","Artificer, Druid, Druid, Ranger, Ranger, Sorcerer, Sorcerer, Wizard, Wizard","","You touch a quiver containing arrows or bolts. When a target is hit by a ranged weapon attack using a piece of ammunition drawn from the quiver, the target takes an extra 1d6 fire damage. The spell's magic ends on a piece of ammunition when it hits or misses, and the spell ends when twelve pieces of ammunition have been drawn from the quiver."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the number of pieces of ammunition you can affect with this spell increases by two for each slot level above 3rd."
"Flame Blade","PHB'24","275","2nd","Bonus","Concentration, up to 10 minutes","Evocation","Self","V, S, M (a sumac leaf)","Druid, Sorcerer","","You evoke a fiery blade in your free hand. The blade is similar in size and shape to a scimitar, and it lasts for the duration. If you let go of the blade, it disappears, but you can evoke it again as a Bonus Action.As a Magic action, you can make a melee spell attack with the fiery blade. On a hit, the target takes Fire damage equal to 3d6 plus your spellcasting ability modifier.The flaming blade sheds Bright Light in a 10-foot radius and Dim Light for an additional 10 feet."," Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2."
"Flaming Sphere","PHB'24","275","2nd","Action","Concentration, up to 1 minute","Conjuration","60 feet","V, S, M (a ball of wax)","Druid, Sorcerer, Wizard","","You create a 5-foot-diameter sphere of fire in an unoccupied space on the ground within range. It lasts for the duration. Any creature that ends its turn within 5 feet of the sphere makes a Dexterity saving throw, taking 2d6 Fire damage on a failed save or half as much damage on a successful one.As a Bonus Action, you can move the sphere up to 30 feet, rolling it along the ground. If you move the sphere into a creature's space, that creature makes the save against the sphere, and the sphere stops moving for the turn.When you move the sphere, you can direct it over barriers up to 5 feet tall and jump it across pits up to 10 feet wide. Flammable objects that aren't being worn or carried start burning if touched by the sphere, and it sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet."," Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2."
"Flesh to Stone","PHB'24","275","6th","Action","Concentration, up to 1 minute","Transmutation","60 feet","V, S, M (a cockatrice feather)","Druid, Sorcerer, Wizard","","You attempt to turn one creature that you can see within range into stone. The target makes a Constitution saving throw. On a failed save, it has the Restrained condition for the duration. On a successful save, its Speed is 0 until the start of your next turn. Constructs automatically succeed on the save.A Restrained target makes another Constitution saving throw at the end of each of its turns. If it successfully saves against this spell three times, the spell ends. If it fails its saves three times, it is turned to stone and has the Petrified condition for the duration. The successes and failures needn't be consecutive; keep track of both until the target collects three of a kind.If you maintain your Concentration on this spell for the entire possible duration, the target is Petrified until the condition is ended by Greater Restoration or similar magic.",""
"Fog Cloud","PHB'24","276","1st","Action","Concentration, up to 1 hour","Conjuration","120 feet","V, S","Druid, Ranger, Sorcerer, Wizard","","You create a 20-foot-radius Sphere of fog centered on a point within range. The Sphere is Heavily Obscured. It lasts for the duration or until a strong wind (such as one created by Gust of Wind) disperses it."," Using a Higher-Level Spell Slot. The fog's radius increases by 20 feet for each spell slot level above 1."
"Foresight","PHB'24","276","9th","1 Min.","8 hours","Divination","Touch","V, S, M (a hummingbird feather)","Bard, Druid, Warlock, Wizard","","You touch a willing creature and bestow a limited ability to see into the immediate future. For the duration, the target has Advantage on D20 Tests, and other creatures have Disadvantage on attack rolls against it. The spell ends early if you cast it again.",""
"Fount of Moonlight","PHB'24","277","4th","Action","Concentration, up to 10 minutes","Evocation","Self","V, S","Bard, Druid","","A cool light wreathes your body for the duration, emitting Bright Light in a 20-foot radius and Dim Light for an additional 20 feet.Until the spell ends, you have Resistance to Radiant damage, and your melee attacks deal an extra 2d6 Radiant damage on a hit.In addition, immediately after you take damage from a creature you can see within 60 feet of yourself, you can take a Reaction to force the creature to make a Constitution saving throw. On a failed save, the creature has the Blinded condition until the end of your next turn.",""
"Freedom of Movement","PHB'24","277","4th","Action","1 hour","Abjuration","Touch","V, S, M (a leather strap)","Artificer, Bard, Cleric, Druid, Ranger","","You touch a willing creature. For the duration, the target's movement is unaffected by Difficult Terrain, and spells and other magical effects can neither reduce the target's Speed nor cause the target to have the Paralyzed or Restrained conditions. The target also has a Swim Speed equal to its Speed.In addition, the target can spend 5 feet of movement to automatically escape from nonmagical restraints, such as manacles or a creature imposing the Grappled condition on it."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4."
"Frostbite","XGE","156","Cantrip","Action","Instantaneous","Evocation","60 feet","V, S","Artificer, Druid, Druid, Sorcerer, Sorcerer, Warlock, Warlock, Wizard, Wizard","","You cause numbing frost to form on one creature that you can see within range. The target must make a Constitution saving throw. On a failed save, the target takes 1d6 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn.The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",""
"Geas","PHB'24","278","5th","1 Min.","30 days","Enchantment","60 feet","V","Bard, Cleric, Druid, Paladin, Wizard","","You give a verbal command to a creature that you can see within range, ordering it to carry out some service or refrain from an action or a course of activity as you decide. The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target automatically succeeds if it can't understand your command.While Charmed, the creature takes 5d10 Psychic damage if it acts in a manner directly counter to your command. It takes this damage no more than once each day.You can issue any command you choose, short of an activity that would result in certain death. Should you issue a suicidal command, the spell ends.A Remove Curse, Greater Restoration, or Wish spell ends this spell."," Using a Higher-Level Spell Slot. If you use a level 7 or 8 spell slot, the duration is 365 days. If you use a level 9 spell slot, the spell lasts until it is ended by one of the spells mentioned above."
"Giant Insect","PHB'24","279","4th","Action","Concentration, up to 10 minutes","Conjuration","60 feet","V, S","Druid","","You summon a giant centipede, spider, or wasp (chosen when you cast the spell). It manifests in an unoccupied space you can see within range and uses the Giant Insect stat block. The form you choose determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger."," Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block."
"Goodberry","PHB'24","280","1st","Action","24 hours","Conjuration","Touch","V, S, M (a sprig of mistletoe)","Druid, Ranger","","Ten berries appear in your hand and are infused with magic for the duration. A creature can take a Bonus Action to eat one berry. Eating a berry restores 1 Hit Point, and the berry provides enough nourishment to sustain a creature for one day.Uneaten berries disappear when the spell ends.",""
"Grasping Vine","PHB'24","280","4th","Bonus","Concentration, up to 1 minute","Conjuration","60 feet","V, S","Druid, Ranger","","You conjure a vine that sprouts from a surface in an unoccupied space that you can see within range. The vine lasts for the duration.Make a melee spell attack against a creature within 30 feet of the vine. On a hit, the target takes 4d8 Bludgeoning damage and is pulled up to 30 feet toward the vine; if the target is Huge or smaller, it has the Grappled condition (escape DC equal to your spell save DC). The vine can grapple only one creature at a time, and you can cause the vine to release a Grappled creature (no action required).As a Bonus Action on your later turns, you can repeat the attack against a creature within 30 feet of the vine."," Using a Higher-Level Spell Slot. The number of creatures the vine can grapple increases by one for each spell slot level above 4."
"Greater Restoration","PHB'24","281","5th","Action","Instantaneous","Abjuration","Touch","V, S, M (diamond dust worth 100+ GP, which the spell consumes)","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","You touch a creature and magically remove one of the following effects from it:1 Exhaustion levelThe Charmed or Petrified conditionA curse, including the target's Attunement to a cursed magic itemAny reduction to one of the target's ability scoresAny reduction to the target's Hit Point maximum",""
"Guardian of Nature","XGE","157","4th","Bonus","Concentration, up to 1 minute","Transmutation","Self","V","Druid, Druid, Ranger, Ranger","","A nature spirit answers your call and transforms you into a powerful guardian. The transformation lasts until the spell ends. You choose one of the following forms to assume: Primal Beast or Great Tree. Primal Beast. Bestial fur covers your body, your facial features become feral, and you gain the following benefits:Your walking speed increases by 10 feet.You gain darkvision with a range of 120 feet.You make Strength-based attack rolls with advantage.Your melee weapon attacks deal an extra 1d6 force damage on a hit. Great Tree. Your skin appears barky, leaves sprout from your hair, and you gain the following benefits:You gain 10 temporary hit points.You make Constitution saving throws with advantage.You make Dexterity- and Wisdom-based attack rolls with advantage.While you are on the ground, the ground within 15 feet of you is difficult terrain for your enemies.",""
"Guidance","PHB'24","282","Cantrip","Action","Concentration, up to 1 minute","Divination","Touch","V, S","Artificer, Cleric, Druid","","You touch a willing creature and choose a skill. Until the spell ends, the creature adds 1d4 to any ability check using the chosen skill.",""
"Gust","XGE","157","Cantrip","Action","Instantaneous","Transmutation","30 feet","V, S","Druid, Druid, Sorcerer, Sorcerer, Wizard, Wizard","","You seize the air and compel it to create one of the following effects at a point you can see within range:One Medium or smaller creature that you choose must succeed on a Strength saving throw or be pushed up to 5 feet away from you.You create a small blast of air capable of moving one object that is neither held nor carried and that weighs no more than 5 pounds. The object is pushed up to 10 feet away from you. It isn't pushed with enough force to cause damage.You create a harmless sensory effect using air, such as causing leaves to rustle, wind to slam shutters closed, or your clothing to ripple in a breeze.",""
"Gust of Wind","PHB'24","282","2nd","Action","Concentration, up to 1 minute","Evocation","Self","V, S, M (a legume seed)","Druid, Ranger, Sorcerer, Wizard","","A Line of strong wind 60 feet long and 10 feet wide blasts from you in a direction you choose for the duration. Each creature in the Line must succeed on a Strength saving throw or be pushed 15 feet away from you in a direction following the Line. A creature that ends its turn in the Line must make the same save.Any creature in the Line must spend 2 feet of movement for every 1 foot it moves when moving closer to you.The gust disperses gas or vapor, and it extinguishes candles and similar unprotected flames in the area. It causes protected flames, such as those of lanterns, to dance wildly and has a 50 percent chance to extinguish them.As a Bonus Action on your later turns, you can change the direction in which the Line blasts from you.",""
"Hallucinatory Terrain","PHB'24","283","4th","10 Min.","24 hours","Illusion","300 feet","V, S, M (a mushroom)","Bard, Druid, Warlock, Wizard","","You make natural terrain in a 150-foot Cube in range look, sound, and smell like another sort of natural terrain. Thus, open fields or a road can be made to resemble a swamp, hill, crevasse, or some other difficult or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road. Manufactured structures, equipment, and creatures within the area aren't changed.The tactile characteristics of the terrain are unchanged, so creatures entering the area are likely to notice the illusion. If the difference isn't obvious by touch, a creature examining the illusion can take the Study action to make an Intelligence (Investigation) check against your spell save DC to disbelieve it. If a creature discerns that the terrain is illusory, the creature sees a vague image superimposed on the real terrain.",""
"Heal","PHB'24","284","6th","Action","Instantaneous","Abjuration","60 feet","V, S","Cleric, Druid","","Choose a creature that you can see within range. Positive energy washes through the target, restoring 70 Hit Points. This spell also ends the Blinded, Deafened, and Poisoned conditions on the target."," Using a Higher-Level Spell Slot. The healing increases by 10 for each spell slot level above 6."
"Healing Spirit","XGE","157","2nd","Bonus","Concentration, up to 1 minute","Conjuration","60 feet","V, S","Druid, Druid, Ranger, Ranger","","You call forth a nature spirit to soothe the wounded. The intangible spirit appears in a space that is a 5-foot cube you can see within range. The spirit looks like a transparent beast or fey (your choice).Until the spell ends, whenever you or a creature you can see moves into the spirit's space for the first time on a turn or starts its turn there, you can cause the spirit to restore 1d6 hit points to that creature (no action required). The spirit can't heal constructs or undead. The spirit can heal a number of times equal to 1 + your spellcasting ability modifier (minimum of twice). After healing that number of times, the spirit disappears.As a bonus action on your turn, you can move the spirit up to 30 feet to a space you can see."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the healing increases by 1d6 for each slot level above 2nd."
"Healing Word","PHB'24","284","1st","Bonus","Instantaneous","Abjuration","60 feet","V","Bard, Cleric, Druid","","A creature of your choice that you can see within range regains Hit Points equal to 2d4 plus your spellcasting ability modifier."," Using a Higher-Level Spell Slot. The healing increases by 2d4 for each spell slot level above 1."
"Heat Metal","PHB'24","284","2nd","Action","Concentration, up to 1 minute","Transmutation","60 feet","V, S, M (a piece of iron and a flame)","Artificer, Bard, Druid","","Choose a manufactured metal object, such as a metal weapon or a suit of Heavy or Medium metal armor, that you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 Fire damage when you cast the spell. Until the spell ends, you can take a Bonus Action on each of your later turns to deal this damage again if the object is within range.If a creature is holding or wearing the object and takes the damage from it, the creature must succeed on a Constitution saving throw or drop the object if it can. If it doesn't drop the object, it has Disadvantage on attack rolls and ability checks until the start of your next turn."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2."
"Heroes' Feast","PHB'24","284","6th","10 Min.","Instantaneous","Conjuration","Self","V, S, M (a gem-encrusted bowl worth 1,000+ GP, which the spell consumes)","Bard, Cleric, Druid","","You conjure a feast that appears on a surface in an unoccupied 10-foot Cube next to you. The feast takes 1 hour to consume and disappears at the end of that time, and the beneficial effects don't set in until this hour is over. Up to twelve creatures can partake of the feast.A creature that partakes gains several benefits, which last for 24 hours. The creature has Resistance to Poison damage, and it has Immunity to the Frightened and Poisoned conditions. Its Hit Point maximum also increases by 2d10, and it gains the same number of Hit Points.",""
"Hold Person","PHB'24","286","2nd","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S, M (a straight piece of iron)","Bard, Cleric, Druid, Sorcerer, Warlock, Wizard","","Choose a Humanoid that you can see within range. The target must succeed on a Wisdom saving throw or have the Paralyzed condition for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success."," Using a Higher-Level Spell Slot. You can target one additional Humanoid for each spell slot level above 2."
"Ice Knife","PHB'24","287","1st","Action","Instantaneous","Conjuration","60 feet","S, M (a drop of water or a piece of ice)","Druid, Sorcerer, Wizard","","You create a shard of ice and fling it at one creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 Piercing damage. Hit or miss, the shard then explodes. The target and each creature within 5 feet of it must succeed on a Dexterity saving throw or take 2d6 Cold damage."," Using a Higher-Level Spell Slot. The Cold damage increases by 1d6 for each spell slot level above 1."
"Ice Storm","PHB'24","287","4th","Action","Instantaneous","Evocation","300 feet","V, S, M (a mitten)","Druid, Sorcerer, Wizard","","Hail falls in a 20-foot-radius, 40-foot-high Cylinder centered on a point within range. Each creature in the Cylinder makes a Dexterity saving throw. A creature takes 2d10 Bludgeoning damage and 4d6 Cold damage on a failed save or half as much damage on a successful one.Hailstones turn ground in the Cylinder into Difficult Terrain until the end of your next turn."," Using a Higher-Level Spell Slot. The Bludgeoning damage increases by 1d10 for each spell slot level above 4."
"Incendiary Cloud","PHB'24","288","8th","Action","Concentration, up to 1 minute","Conjuration","150 feet","V, S","Druid, Sorcerer, Wizard","","A swirling cloud of embers and smoke fills a 20-foot-radius Sphere centered on a point within range. The cloud's area is Heavily Obscured. It lasts for the duration or until a strong wind (like that created by Gust of Wind) disperses it.When the cloud appears, each creature in it makes a Dexterity saving throw, taking 10d8 Fire damage on a failed save or half as much damage on a successful one. A creature must also make this save when the Sphere moves into its space and when it enters the Sphere or ends its turn there. A creature makes this save only once per turn.The cloud moves 10 feet away from you in a direction you choose at the start of each of your turns.",""
