"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Speak with Plants","PHB'24","319","3rd","Action","10 minutes","Transmutation","Self","V, S","Bard, Druid, Ranger","","You imbue plants in an immobile 30-foot Emanation with limited sentience and animation, giving them the ability to communicate with you and follow your simple commands. You can question plants about events in the spell's area within the past day, gaining information about creatures that have passed, weather, and other circumstances.You can also turn Difficult Terrain caused by plant growth (such as thickets and undergrowth) into ordinary terrain that lasts for the duration. Or you can turn ordinary terrain where plants are present into Difficult Terrain that lasts for the duration.The spell doesn't enable plants to uproot themselves and move about, but they can move their branches, tendrils, and stalks for you.If a Plant creature is in the area, you can communicate with it as if you shared a common language.",""
"Spike Growth","PHB'24","319","2nd","Action","Concentration, up to 10 minutes","Transmutation","150 feet","V, S, M (seven thorns)","Druid, Ranger","","The ground in a 20-foot-radius Sphere centered on a point within range sprouts hard spikes and thorns. The area becomes Difficult Terrain for the duration. When a creature moves into or within the area, it takes 2d4 Piercing damage for every 5 feet it travels.The transformation of the ground is camouflaged to look natural. Any creature that can't see the area when the spell is cast must take a Search action and succeed on a Wisdom (Perception or Survival) check against your spell save DC to recognize the terrain as hazardous before entering it.",""
"Steel Wind Strike","PHB'24","320","5th","Action","Instantaneous","Conjuration","30 feet","S, M (a Melee weapon worth 1+ SP)","Ranger, Wizard","","You flourish the weapon used in the casting and then vanish to strike like the wind. Choose up to five creatures you can see within range. Make a melee spell attack against each target. On a hit, a target takes 6d10 Force damage.You then teleport to an unoccupied space you can see within 5 feet of one of the targets.",""
"Stoneskin","PHB'24","321","4th","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S, M (diamond dust worth 100+ GP, which the spell consumes)","Artificer, Druid, Ranger, Sorcerer, Wizard","","Until the spell ends, one willing creature you touch has Resistance to Bludgeoning, Piercing, and Slashing damage.",""
"Summon Beast","PHB'24","322","2nd","Action","Concentration, up to 1 hour","Conjuration","90 feet","V, S, M (a feather, tuft of fur, and fish tail inside a gilded acorn worth 200+ GP)","Druid, Ranger","","You call forth a bestial spirit. It manifests in an unoccupied space that you can see within range and uses the Bestial Spirit stat block. When you cast the spell, choose an environment: Air, Land, or Water. The creature resembles an animal of your choice that is native to the chosen environment, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger."," Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block."
"Summon Elemental","PHB'24","325","4th","Action","Concentration, up to 1 hour","Conjuration","90 feet","V, S, M (air, a pebble, ash, and water inside a gold-inlaid vial worth 400+ GP)","Druid, Ranger, Wizard","","You call forth an Elemental spirit. It manifests in an unoccupied space that you can see within range and uses the Elemental Spirit stat block. When you cast the spell, choose an element: Air, Earth, Fire, or Water. The creature resembles a bipedal form wreathed in the chosen element, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger."," Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block."
"Summon Fey","PHB'24","326","3rd","Action","Concentration, up to 1 hour","Conjuration","90 feet","V, S, M (a gilded flower worth 300+ GP)","Druid, Ranger, Warlock, Wizard","","You call forth a Fey spirit. It manifests in an unoccupied space that you can see within range and uses the Fey Spirit stat block. When you cast the spell, choose a mood: Fuming, Mirthful, or Tricksy. The creature resembles a Fey creature of your choice marked by the chosen mood, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger."," Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block."
"Swift Quiver","PHB'24","329","5th","Bonus","Concentration, up to 1 minute","Transmutation","Self","V, S, M (a Quiver worth 1+ GP)","Ranger","","When you cast the spell and as a Bonus Action until it ends, you can make two attacks with a weapon that fires Arrows or Bolts, such as a Longbow or a Light Crossbow. The spell magically creates the ammunition needed for each attack. Each Arrow or Bolt created by the spell deals damage like a nonmagical piece of ammunition of its kind and disintegrates immediately after it hits or misses.",""
"Tree Stride","PHB'24","335","5th","Action","Concentration, up to 1 minute","Conjuration","Self","V, S","Druid, Ranger","","You gain the ability to enter a tree and move from inside it to inside another tree of the same kind within 500 feet. Both trees must be living and at least the same size as you. You must use 5 feet of movement to enter a tree. You instantly know the location of all other trees of the same kind within 500 feet and, as part of the move used to enter the tree, can either pass into one of those trees or step out of the tree you're in. You appear in a spot of your choice within 5 feet of the destination tree, using another 5 feet of movement. If you have no movement left, you appear within 5 feet of the tree you entered.You can use this transportation ability only once on each of your turns. You must end each turn outside a tree.",""
"Water Breathing","PHB'24","340","3rd","Action","24 hours","Transmutation (ritual)","30 feet","V, S, M (a short reed)","Artificer, Druid, Ranger, Sorcerer, Wizard","","This spell grants up to ten willing creatures of your choice within range the ability to breathe underwater until the spell ends. Affected creatures also retain their normal mode of respiration.",""
"Water Walk","PHB'24","340","3rd","Action","1 hour","Transmutation (ritual)","30 feet","V, S, M (a piece of cork)","Artificer, Cleric, Druid, Ranger, Sorcerer","","This spell grants the ability to move across any liquid surface—such as water, acid, mud, snow, quicksand, or lava—as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). Up to ten willing creatures of your choice within range gain this ability for the duration.An affected target must take a Bonus Action to pass from the liquid's surface into the liquid itself and vice versa, but if the target falls into the liquid, the target passes through the surface into the liquid below.",""
"Wind Wall","PHB'24","341","3rd","Action","Concentration, up to 1 minute","Evocation","120 feet","V, S, M (a fan and a feather)","Druid, Ranger","","A wall of strong wind rises from the ground at a point you choose within range. You can make the wall up to 50 feet long, 15 feet high, and 1 foot thick. You can shape the wall in any way you choose so long as it makes one continuous path along the ground. The wall lasts for the duration.When the wall appears, each creature in its area makes a Strength saving throw, taking 4d8 Bludgeoning damage on a failed save or half as much damage on a successful one.The strong wind keeps fog, smoke, and other gases at bay. Small or smaller flying creatures or objects can't pass through the wall. Loose, lightweight materials brought into the wall fly upward. Arrows, bolts, and other ordinary projectiles launched at targets behind the wall are deflected upward and miss automatically. Boulders hurled by Giants or siege engines, and similar projectiles, are unaffected. Creatures in gaseous form can't pass through it.",""
"Wrath of Nature","XGE","171","5th","Action","Concentration, up to 1 minute","Evocation","120 feet","V, S","Druid, Druid, Ranger, Ranger","","You call out to the spirits of nature to rouse them against your enemies. Choose a point you can see within range. The spirits cause trees, rocks, and grasses in a 60-foot cube centered on that point to become animated until the spell ends. Grasses and Undergrowth. Any area of ground in the cube that is covered by grass or undergrowth is difficult terrain for your enemies. Trees. At the start of each of your turns, each of your enemies within 10 feet of any tree in the cube must succeed on a Dexterity saving throw or take 4d6 slashing damage from whipping branches. Roots and Vines. At the end of each of your turns, one creature of your choice that is on the ground in the cube must succeed on a Strength saving throw or become restrained until the spell ends. A restrained creature can use an action to make a Strength (Athletics) check against your spell save DC, ending the effect on itself on a success. Rocks. As a bonus action on your turn, you can cause a loose rock in the cube to launch at a creature you can see in the cube. Make a ranged spell attack against the target. On a hit, the target takes 3d8 nonmagical bludgeoning damage, and it must succeed on a Strength saving throw or fall prone.",""
"Zephyr Strike","XGE","171","1st","Bonus","Concentration, up to 1 minute","Transmutation","Self","V","Ranger, Ranger","","You move like the wind. Until the spell ends, your movement doesn't provoke opportunity attacks.Once before the spell ends, you can give yourself advantage on one weapon attack roll on your turn. That attack deals an extra 1d8 force damage on a hit. Whether you hit or miss, your walking speed increases by 30 feet until the end of that turn.",""
